Names,color_wine,Prices,ML,Ratings,Ratingsnum,Countrys,ABV %,rates,year,brand,location,city,raters_numb
Cantine Cavicchioli Vigna del Cristo Lambrusco ,Sparkling & Champagne,19.99,750,0.0,0,"Red Sparkling Wine from Emilia-Romagna, Italy",11.0,0,2021,Red Sparkling Wine,Italy,Emilia-Romagna,0
Cantine Cavicchioli Rose Spumante Dolce,Sparkling & Champagne,16.99,750,3.8,19,"Sparkling Rosé from Emilia-Romagna, Italy",9.5,0,0,Sparkling Rosé,Italy,Emilia-Romagna,0
Cantine Cavicchioli Prosecco ,Sparkling & Champagne,15.99,750,4.2,62,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,1928,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Cantine Cavicchioli Robanera Lambrusco Grasparossa di Castelvetro,Sparkling & Champagne,12.99,750,3.0,18,"Red Sparkling Wine from Emilia-Romagna, Italy",9.5,0,0,Red Sparkling Wine,Italy,Emilia-Romagna,0
Cantine Elvio Tintero Vino Rosso ,Red Wine,14.99,750,0.0,0,"Other Red Blends from Piedmont, Italy",12.5,0,2021,Other Red Blends,Italy,Piedmont,0
Cantine Elvio Tintero Langhe Nebbiolo ,Red Wine,19.99,750,0.0,0,"Nebbiolo from Piedmont, Italy",14.0,0,2020,Nebbiolo,Italy,Piedmont,0
Cantine Elvio Tintero Moscato d'Asti Sori Gramella ,White Wine,17.99,750,0.0,0,"Muscat from Asti, Piedmont, Italy",5.5,0,2021,Muscat,Italy,Piedmont,0
Cantine Elvio Tintero Vino Bianco ,White Wine,14.99,750,0.0,0,"Other White Blends from Piedmont, Italy",11.5,0,2021,Other White Blends,Italy,Piedmont,0
Cantine Lunae Bosoni Etichetta Grigia Vermentino ,White Wine,26.99,750,0.0,0,"Vermentino from Liguria, Italy",12.5,0,2021,Vermentino,Italy,Liguria,0
Cantine Lunae Bosoni Etichetta Nera Vermentino ,White Wine,43.99,750,0.0,0,"Vermentino from Liguria, Italy",13.0,0,2021,Vermentino,Italy,Liguria,0
Cantine Lunae Bosoni Auxo Colli di Luni ,Red Wine,25.99,750,0.0,0,"Other Red Blends from Liguria, Italy",13.0,0,2017,Other Red Blends,Italy,Liguria,0
Cantine Maschio Sparkling Rose,Sparkling & Champagne,14.99,750,0.0,0,"Sparkling Rosé from Veneto, Italy",11.0,0,0,Sparkling Rosé,Italy,Veneto,0
Cantine Maschio Prosecco Rose Extra Dry ,Sparkling & Champagne,14.99,750,3.0,14,"Sparkling Rosé from Prosecco, Italy",11.0,0,2020,Sparkling Rosé,Italy,Prosecco,0
Cantine Maschio Prosecco Extra Dry,Sparkling & Champagne,14.99,750,0.0,0,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,JS,0,Non-Vintage Sparkling Wine,Italy,Prosecco,1
Cantine Maschio Prosecco Brut,Sparkling & Champagne,13.99,750,3.8,298,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,W&S,0,Non-Vintage Sparkling Wine,Italy,Prosecco,1
Cantine Povero Batu Barbaresco ,Red Wine,29.99,750,0.0,0,"Nebbiolo from Barbaresco, Piedmont, Italy",14.5,D,2018,Nebbiolo,Italy,Piedmont,1
Cantine San Marzano F Negroamaro ,Red Wine,40.99,750,0.0,0,"Negroamaro from Puglia, Italy",14.5,0,2019,Negroamaro,Italy,Puglia,0
Cantine San Marzano Anniversario 62 Primitivo di Manduria Riserva ,Red Wine,38.99,750,4.7,39,"Primitivo from Puglia, Italy",0.0,0,2017,Primitivo,Italy,Puglia,0
Cantine San Marzano Il Pumo Negroamaro ,Red Wine,12.99,750,0.0,0,"Negroamaro from Puglia, Italy",13.5,0,2021,Negroamaro,Italy,Puglia,0
Cantine San Marzano Sessantanni Primitivo Di Manduria ,Red Wine,40.99,750,0.0,0,"Primitivo from Puglia, Italy",14.5,0,2017,Primitivo,Italy,Puglia,0
Cantine San Marzano Il Pumo Primitivo ,Red Wine,15.99,750,0.0,0,"Primitivo from Puglia, Italy",13.5,WW,2020,Primitivo,Italy,Puglia,1
Cantine San Marzano Edda Bianco Salento ,White Wine,18.99,750,0.0,0,"Other White Blends from Puglia, Italy",13.5,0,2020,Other White Blends,Italy,Puglia,0
Cantine Valpane Barbera del Monferatto Rosso Pietro ,Red Wine,19.99,750,0.0,0,"Barbera from Piedmont, Italy",13.5,0,2018,Barbera,Italy,Piedmont,0
Canvasback Red Mountain Cabernet Sauvignon ,Red Wine,42.99,750,4.4,18,"Cabernet Sauvignon from Red Mountain, Yakima Valley, Columbia Valley, Washington",15.1,"W&S, JS, RP, WS, WE",2018,Cabernet Sauvignon,Washington,Columbia Valley,5
Capanna Rosso di Montalcino ,Red Wine,31.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",0.0,0,2019,Sangiovese,Italy,Tuscany,0
Capanna Brunello di Montalcino Riserva ,Red Wine,118.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",0.0,"D, JS, WE, RP",2012,Sangiovese,Italy,Tuscany,4
Capanna Brunello di Montalcino Riserva ,Red Wine,139.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",0.0,RP,2016,Sangiovese,Italy,Tuscany,1
Capanna Brunello di Montalcino ,Red Wine,68.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",14.5,"JS, RP",2017,Sangiovese,Italy,Tuscany,2
Caparzo Brunello di Montalcino ,Red Wine,49.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",14.5,"RP, JS, WE, WS, D",2017,Sangiovese,Italy,Tuscany,5
Caparzo Brunello di Montalcino La Casa ,Red Wine,85.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",14.5,"WS, WE, D",2017,Sangiovese,Italy,Tuscany,3
Caparzo Sangiovese ,Red Wine,12.99,750,3.8,147,"Sangiovese from Tuscany, Italy",0.0,JS,2019,Sangiovese,Italy,Tuscany,1
Caparzo Rosso di Montalcino ,Red Wine,24.99,750,4.0,35,"Sangiovese from Montalcino, Tuscany, Italy",0.0,"TP, JS",2019,Sangiovese,Italy,Tuscany,2
Cape Mentelle Sauvignon Blanc-Semillon ,White Wine,26.99,750,3.9,94,"Bordeaux White Blends from Margaret River, Western Australia, Australia",12.3,WE,2019,Bordeaux White Blends,Australia,Western Australia,1
Cape Mentelle Shiraz/Cabernet ,Red Wine,25.99,750,3.9,88,"Other Red Blends from Margaret River, Western Australia, Australia",14.3,"JS, WW",2017,Other Red Blends,Australia,Western Australia,2
Cape Mentelle Cabernet Sauvignon ,Red Wine,79.99,750,4.3,6,"Cabernet Sauvignon from Margaret River, Western Australia, Australia",14.0,"JS, V, WE, W&S",2015,Cabernet Sauvignon,Australia,Western Australia,4
Capensis Chardonnay ,White Wine,79.99,750,0.0,0,Chardonnay from South Africa,13.5,WE,2016,Chardonnay,South Africa,_Not_given_,1
Capezzana Villa di Carmignano ,Red Wine,31.99,750,3.9,7,"Tuscan Blends from Carmignano, Tuscany, Italy",14.0,0,2017,Tuscan Blends,Italy,Tuscany,0
Capezzana Trefiano Carmignano ,Red Wine,62.99,750,0.0,0,"Other Red Blends from Tuscany, Italy",14.5,0,2016,Other Red Blends,Italy,Tuscany,0
Capezzana Barco Reale ,Red Wine,18.99,750,0.0,0,"Tuscan Blends from Tuscany, Italy",0.0,0,2019,Tuscan Blends,Italy,Tuscany,0
Capiaux Cellars Pisoni Vineyard Pinot Noir ,Red Wine,53.99,750,0.0,0,"Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California",14.3,0,2019,Pinot Noir,California,Central Coast,0
Capofaro Didyme Malvasia ,White Wine,29.99,750,0.0,0,"Malvasia from Sicily, Italy",13.5,0,2021,Malvasia,Italy,Sicily,0
Caposaldo Sparkling Peach,Sparkling & Champagne,15.99,750,4.4,517,"Non-Vintage Sparkling Wine from Veneto, Italy",6.4,WW,0,Non-Vintage Sparkling Wine,Italy,Veneto,1
Caposaldo Chianti ,Red Wine,11.99,750,4.2,5,"Sangiovese from Chianti, Tuscany, Italy",0.0,0,2020,Sangiovese,Italy,Tuscany,0
Caposaldo Moscato,White Wine,13.99,750,4.7,224,"Muscat from Lombardy, Italy",7.0,0,0,Muscat,Italy,Lombardy,0
Caposaldo Pinot Grigio ,White Wine,11.99,750,0.0,0,"Pinot Gris/Grigio from Veneto, Italy",12.5,0,2021,Pinot Gris/Grigio,Italy,Veneto,0
Caposaldo Prosecco,Sparkling & Champagne,15.99,750,4.5,147,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.5,WW,0,Non-Vintage Sparkling Wine,Italy,Prosecco,1
Cappellano Otin Fiorin Pie Rupestris-Nebioli ,Red Wine,299.97,750,0.0,0,"Nebbiolo from Barolo, Piedmont, Italy",0.0,0,2001,Nebbiolo,Italy,Piedmont,0
Cappellano Otin Fiorin Pie Rupestris-Nebioli ,Red Wine,299.97,750,0.0,0,"Nebbiolo from Barolo, Piedmont, Italy",0.0,0,2004,Nebbiolo,Italy,Piedmont,0
Caprili Brunello di Montalcino ,Red Wine,55.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",14.0,"WE, RP",2017,Sangiovese,Italy,Tuscany,2
Capture Innovant Red Wine ,Red Wine,54.99,750,0.0,0,"Bordeaux Red Blends from Alexander Valley, Sonoma County, California",14.5,"WW, JD, RP",2014,Bordeaux Red Blends,California,Sonoma County,3
Capture Pine Mountain Cabernet Sauvignon ,Red Wine,63.99,750,0.0,0,"Cabernet Sauvignon from Pine Mountain, Sonoma County, California",14.2,JD,2019,Cabernet Sauvignon,California,Sonoma County,1
Capture Pine Mountain Cabernet Sauvignon ,Red Wine,64.99,750,0.0,0,"Cabernet Sauvignon from Pine Mountain, Sonoma County, California",14.5,"JD, RP",2017,Cabernet Sauvignon,California,Sonoma County,2
Cara Sur Moscatel Tinto ,Red Wine,24.99,750,3.4,5,"Other Red Wine from San Juan, Argentina",0.0,RP,2020,Other Red Wine,Argentina,San Juan,1
Caraccioli Cellars Brut Rose ,Sparkling & Champagne,69.99,750,0.0,0,"Sparkling Rosé from Santa Lucia Highlands, Monterey, Central Coast, California",12.0,0,2016,Sparkling Rosé,California,Central Coast,0
Cardedu Astili Rosso Sardegna,Red Wine,25.99,750,0.0,0,"Other Red Blends from Sardinia, Italy",12.5,0,0,Other Red Blends,Italy,Sardinia,0
Cardedu Caladu Canonau di Sardegna ,Red Wine,19.99,750,0.0,0,"Other Red Wine from Sardinia, Italy",13.5,0,2017,Other Red Wine,Italy,Sardinia,0
Cardedu Bucce Bianco Sardegna,White Wine,22.99,750,0.0,0,"Other White Blends from Sardinia, Italy",12.5,0,0,Other White Blends,Italy,Sardinia,0
Cardedu Praja Monica di Sardegna ,Red Wine,19.99,750,0.0,0,"Other Red Wine from Sardinia, Italy",12.5,0,2020,Other Red Wine,Italy,Sardinia,0
Cardedu Nuo Vermentino di Sardegna ,White Wine,19.99,750,0.0,0,"Vermentino from Sardinia, Italy",12.5,0,2020,Vermentino,Italy,Sardinia,0
Carl Graff Mosel Riesling Kabinett ,White Wine,15.99,750,0.0,0,"Riesling from Mosel, Germany",8.0,0,2021,Riesling,Germany,Mosel,0
Carletto Montepulciano d'Abruzzo ,Red Wine,11.99,750,0.0,0,"Montepulciano from Abruzzo, Italy",0.0,0,2020,Montepulciano,Italy,Abruzzo,0
Carletto Red Blend ,Red Wine,12.99,750,3.9,19,"Tuscan Blends from Marche, Italy",0.0,0,2018,Tuscan Blends,Italy,Marche,0
Carletto Prosecco,Sparkling & Champagne,15.99,750,3.8,158,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,0,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Carletto Pinot Grigio ,White Wine,14.99,750,0.0,0,"Pinot Gris/Grigio from Veneto, Italy",13.0,0,2020,Pinot Gris/Grigio,Italy,Veneto,0
Carlisle Piner-Olivet Ranches Zinfandel ,Red Wine,46.99,750,0.0,0,"Zinfandel from Russian River, Sonoma County, California",15.0,WS,2019,Zinfandel,California,Sonoma County,1
Carlo Giacosa Barbaresco Montefico ,Red Wine,53.99,750,0.0,0,"Nebbiolo from Barbaresco, Piedmont, Italy",0.0,JS,2018,Nebbiolo,Italy,Piedmont,1
Carlo Giacosa Maria Grazia Langhe Nebbiolo ,Red Wine,24.99,750,0.0,0,"Nebbiolo from Piedmont, Italy",14.0,WS,2019,Nebbiolo,Italy,Piedmont,1
Carlos Serres Old Vines Tempranillo ,Red Wine,13.99,750,4.0,5,"Tempranillo from Rioja, Spain",0.0,0,2019,Tempranillo,Spain,Rioja,0
Carlos Serres Crianza ,Red Wine,17.99,750,0.0,0,"Tempranillo from Rioja, Spain",13.0,0,2017,Tempranillo,Spain,Rioja,0
Carlos Serres Reserva ,Red Wine,17.99,750,3.9,30,"Tempranillo from Rioja, Spain",0.0,0,2014,Tempranillo,Spain,Rioja,0
Carlos Serres Gran Reserva ,Red Wine,32.99,750,3.9,17,"Tempranillo from Rioja, Spain",14.5,"TP, WE",2012,Tempranillo,Spain,Rioja,2
Carmel Selected Merlot (OU Kosher) ,Red Wine,11.99,750,0.0,0,Merlot from Israel,0.0,0,2019,Merlot,Israel,_Not_given_,0
Carmel Selected Mediterranean Red Blend (OU Kosher) ,Red Wine,11.99,750,0.0,0,Other Red Blends from Israel,11.0,0,2019,Other Red Blends,Israel,_Not_given_,0
Carmel Appellation Cabernet Shiraz (OU Kosher) ,Red Wine,25.99,750,0.0,0,Other Red Blends from Israel,15.0,0,2018,Other Red Blends,Israel,_Not_given_,0
Carmel Limited Edition (OU Kosher) ,Red Wine,95.99,750,0.0,0,Bordeaux Red Blends from Israel,14.0,0,2019,Bordeaux Red Blends,Israel,_Not_given_,0
Carmel Appellation Cabernet Sauvignon (OU Kosher) ,Red Wine,23.99,750,0.0,0,Cabernet Sauvignon from Israel,14.5,0,2019,Cabernet Sauvignon,Israel,_Not_given_,0
Carmel Cabernet Sauvignon Selected (OU Kosher) ,Red Wine,12.99,750,0.0,0,Cabernet Sauvignon from Israel,13.0,0,2019,Cabernet Sauvignon,Israel,_Not_given_,0
Carmel Mediterranean Red Blend (OU Kosher) ,Red Wine,43.99,750,0.0,0,Other Red Blends from Israel,13.5,JS,2019,Other Red Blends,Israel,_Not_given_,1
Carmel Road Cabernet Sauvignon ,Red Wine,15.99,750,4.1,18,Cabernet Sauvignon from California,13.9,WW,2018,Cabernet Sauvignon,California,_Not_given_,1
Carmel Road Central Coast Pinot Noir ,Red Wine,18.99,750,4.0,25,"Pinot Noir from Central Coast, California",13.5,0,2019,Pinot Noir,California,Central Coast,0
Carmelo Patti Cabernet Sauvignon ,Red Wine,39.99,750,0.0,0,"Cabernet Sauvignon from Mendoza, Argentina",14.0,0,2013,Cabernet Sauvignon,Argentina,Mendoza,0
Carmelo Patti Malbec ,Red Wine,34.99,750,0.0,0,"Malbec from Mendoza, Argentina",13.8,0,2018,Malbec,Argentina,Mendoza,0
Carmenet Pinot Noir ,Red Wine,15.99,750,3.3,14,Pinot Noir from California,12.5,0,2017,Pinot Noir,California,_Not_given_,0
Carmenet Merlot ,Red Wine,15.99,750,0.0,0,Merlot from California,13.0,0,2020,Merlot,California,_Not_given_,0
Carmenet Chardonnay ,White Wine,12.99,750,0.0,0,Chardonnay from California,12.5,0,2021,Chardonnay,California,_Not_given_,0
Carmenet Cabernet Sauvignon ,Red Wine,15.99,750,4.0,42,Cabernet Sauvignon from California,12.5,0,2017,Cabernet Sauvignon,California,_Not_given_,0
Carneros Highway Chardonnay ,White Wine,19.99,750,0.0,0,"Chardonnay from Carneros, California",13.25,0,2021,Chardonnay,California,Carneros,0
Carneros Highway Pinot Noir ,Red Wine,25.99,750,0.0,0,"Pinot Noir from Carneros, California",13.9,0,2019,Pinot Noir,California,Carneros,0
Carneros Hills Winery Chardenet Durell Vineyard Chardonnay ,White Wine,23.98,750,0.0,0,"Chardonnay from Sonoma Coast, Sonoma County, California",0.0,0,2014,Chardonnay,California,Sonoma County,0
Carneros Ranch Chardonnay ,White Wine,24.99,750,0.0,0,"Chardonnay from Carneros, California",0.0,0,2020,Chardonnay,California,Carneros,0
Carneros Ranch Pinot Noir ,Red Wine,24.99,750,0.0,0,"Pinot Noir from Carneros, California",13.9,0,2017,Pinot Noir,California,Carneros,0
Carnivor Zinfandel ,Red Wine,12.99,750,3.9,14,Zinfandel from California,0.0,0,2019,Zinfandel,California,_Not_given_,0
Carnivor Bourbon Barrel Aged Cabernet Sauvignon ,Red Wine,14.99,750,0.0,0,Cabernet Sauvignon from California,15.0,0,2018,Cabernet Sauvignon,California,_Not_given_,0
Carnivor Cabernet Sauvignon ,Red Wine,10.99,750,4.2,12,Cabernet Sauvignon from California,0.0,0,2019,Cabernet Sauvignon,California,_Not_given_,0
CARO ,Red Wine,71.99,750,3.9,7,"Bordeaux Red Blends from Mendoza, Argentina",14.0,"JS, WW, W&S, RP",2017,Bordeaux Red Blends,Argentina,Mendoza,4
CARO Aruma Malbec ,Red Wine,17.99,750,0.0,0,"Malbec from Mendoza, Argentina",14.5,"JS, V",2020,Malbec,Argentina,Mendoza,2
CARO Amancaya ,Red Wine,22.99,750,4.0,34,"Bordeaux Red Blends from Mendoza, Argentina",14.5,JS,2019,Bordeaux Red Blends,Argentina,Mendoza,1
Carol Shelton Rocky Reserve Zinfandel ,Red Wine,44.99,750,3.7,5,"Zinfandel from Rockpile, Sonoma County, California",14.8,WS,2018,Zinfandel,California,Sonoma County,1
Carol Shelton Wild Thing Chardonnay ,White Wine,24.99,750,0.0,0,"Chardonnay from Sonoma County, California",13.0,0,2021,Chardonnay,California,Sonoma County,0
Carol Shelton Wild Thing Zinfandel (375ML half-bottle) ,Red Wine,16.99,375,0.0,0,"Zinfandel from Mendocino, California",14.5,WS,2018,Zinfandel,California,Mendocino,1
Carol Shelton Wild Thing Rendezvous Rose ,Pink and Rosé,24.99,750,0.0,0,"Rosé from Mendocino, California",13.35,0,2021,Rosé,California,Mendocino,0
Carol Shelton Wild Thing Zinfandel ,Red Wine,20.99,750,3.6,7,"Zinfandel from Mendocino, California",14.4,0,2019,Zinfandel,California,Mendocino,0
Carpe Diem Chardonnay ,White Wine,25.99,750,3.5,11,"Chardonnay from Anderson Valley, Mendocino, California",13.1,WE,2018,Chardonnay,California,Mendocino,1
Carpe Diem Pinot Noir ,Red Wine,35.99,750,3.6,25,"Pinot Noir from Anderson Valley, Mendocino, California",13.6,WW,2017,Pinot Noir,California,Mendocino,1
"Carpene Malvolti ""1868"" Extra Dry Prosecco",Sparkling & Champagne,22.99,750,0.0,0,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,0,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Carpene Malvolti Rose Brut,Sparkling & Champagne,21.99,750,0.0,0,"Sparkling Rosé from Veneto, Italy",12.0,0,0,Sparkling Rosé,Italy,Veneto,0
Carpineta Fontalpino Montaperto Chianti Classico ,Red Wine,47.99,750,0.0,0,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",0.0,0,2014,Sangiovese,Italy,Tuscany,0
Carpineta Fontalpino Do ut des Toscana ,Red Wine,49.99,750,3.6,10,"Tuscan Blends from Tuscany, Italy",13.5,"JS, RP, WS",2016,Tuscan Blends,Italy,Tuscany,3
Carpineta Fontalpino Chianti Classico ,Red Wine,28.99,750,0.0,0,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",14.0,"JS, WS",2019,Sangiovese,Italy,Tuscany,2
Carpineta Fontalpino Dofana Chianti Classico ,Red Wine,49.99,750,3.8,9,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",0.0,"RP, JS, W&S, WS",2016,Sangiovese,Italy,Tuscany,4
Carpineto Vino Nobile di Montepulciano Riserva ,Red Wine,34.99,750,0.0,0,"Other Red Blends from Montepulciano, Tuscany, Italy",13.5,WS,2017,Other Red Blends,Italy,Tuscany,1
Carpineto Dogajolo Bianco ,White Wine,14.99,750,4.4,9,"Other White Blends from Tuscany, Italy",0.0,0,2020,Other White Blends,Italy,Tuscany,0
Carpineto Brunello di Montalcino ,Red Wine,73.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",13.5,"WS, JD",2016,Sangiovese,Italy,Tuscany,2
Carpineto Chianti Classico ,Red Wine,19.99,750,3.9,13,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",0.0,0,2019,Sangiovese,Italy,Tuscany,0
Carpineto Chianti Classico Gran Selezione ,Red Wine,62.99,750,0.0,0,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",14.25,"WS, RP, JS",2016,Sangiovese,Italy,Tuscany,3
Carpineto Brunello di Montalcino ,Red Wine,64.99,750,0.0,0,"Sangiovese from Montalcino, Tuscany, Italy",15.0,"JS, WS, WE, D",2017,Sangiovese,Italy,Tuscany,4
Carpineto Chianti Classico Riserva ,Red Wine,24.99,750,4.0,6,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",13.5,WS,2017,Sangiovese,Italy,Tuscany,1
Carpineto Dogajolo Rosso ,Red Wine,12.99,750,4.3,17,"Other Red Blends from Tuscany, Italy",0.0,D,2019,Other Red Blends,Italy,Tuscany,1
Carpineto Farnito Cabernet Sauvignon ,Red Wine,37.99,750,0.0,0,"Cabernet Sauvignon from Tuscany, Italy",13.5,"JS, WW, D, WS",2016,Cabernet Sauvignon,Italy,Tuscany,4
Carro Tinto ,Red Wine,18.99,750,0.0,0,"Rhone Red Blends from Yecla, Spain",14.0,0,2020,Rhone Red Blends,Spain,Yecla,0
Carruades de Lafite (1.5 Liter Magnum) ,Red Wine,798.97,1500,0.0,0,"Bordeaux Red Blends from Pauillac, Bordeaux, France",13.7,"JS, JD, RP, D",2019,Bordeaux Red Blends,France,Bordeaux,4
Carruades de Lafite ,Red Wine,349.97,750,4.7,5,"Bordeaux Red Blends from Pauillac, Bordeaux, France",0.0,"RP, WS",2000,Bordeaux Red Blends,France,Bordeaux,2
Carruades de Lafite (Futures Pre-Sale) ,Red Wine,249.97,750,3.5,5,"Bordeaux Red Blends from Pauillac, Bordeaux, France",0.0,"JS, WE, JD, RP, D",2020,Bordeaux Red Blends,France,Bordeaux,5
Carruades de Lafite (1.5 Liter Magnum) ,Red Wine,959.97,1500,0.0,0,"Bordeaux Red Blends from Pauillac, Bordeaux, France",0.0,0,2010,Bordeaux Red Blends,France,Bordeaux,0
Carruades de Lafite ,Red Wine,599.99,750,4.5,5,"Bordeaux Red Blends from Pauillac, Bordeaux, France",13.5,"JS, WS, RP, WE",2010,Bordeaux Red Blends,France,Bordeaux,4
Carter Cellars Hossfeld Coliseum Red Blend ,Red Wine,109.97,750,0.0,0,"Bordeaux Red Blends from Napa Valley, California",14.9,0,2010,Bordeaux Red Blends,California,Napa Valley,0
Cartlidge & Browne Chardonnay ,White Wine,12.99,750,0.0,0,"Chardonnay from North Coast, California",0.0,0,2020,Chardonnay,California,North Coast,0
Cartuxa Pera Manca Red ,Red Wine,469.99,750,0.0,0,"Other Red Blends from Alentejo, Portugal",14.5,0,2015,Other Red Blends,Portugal,Alentejo,0
Casa Castillo Monastrell ,Red Wine,18.99,750,3.6,9,"Mourvedre from Jumilla, Spain",0.0,RP,2019,Mourvedre,Spain,Jumilla,1
Casa Castillo Vino de Finca ,Red Wine,22.99,750,3.3,9,"Rhone Red Blends from Jumilla, Spain",14.5,RP,2016,Rhone Red Blends,Spain,Jumilla,1
Casa da Passarella Colheita Tinto ,Red Wine,25.99,750,0.0,0,Other Red Blends from Portugal,0.0,0,2014,Other Red Blends,Portugal,_Not_given_,0
Casa di Malia Organic Prosecco,Sparkling & Champagne,18.99,750,3.9,53,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,0,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Casa do Valle Vinho Verde Branco Grande Escolha ,White Wine,18.99,750,0.0,0,"Other White Blends from Vinho Verde, Portugal",13.5,0,2020,Other White Blends,Portugal,Vinho Verde,0
Casa do Valle Vinho Verde Branco ,White Wine,14.99,750,0.0,0,"Other White Blends from Vinho Verde, Portugal",0.0,0,2021,Other White Blends,Portugal,Vinho Verde,0
Casa Ermelinda Freitas Vinha da Valentina Premium Red ,Red Wine,14.99,750,0.0,0,Other Red Blends from Portugal,14.0,WE,2019,Other Red Blends,Portugal,_Not_given_,1
Casa Ermelinda Freitas Sand Creek Red Blend ,Red Wine,12.99,750,0.0,0,Other Red Blends from Portugal,14.0,0,2019,Other Red Blends,Portugal,_Not_given_,0
Casa Ferreirinha Vinha Grande ,Red Wine,24.99,750,3.3,6,Other Red Blends from Portugal,13.5,0,2018,Other Red Blends,Portugal,_Not_given_,0
Casa Ferreirinha Quinta da Leda ,Red Wine,78.99,750,0.0,0,"Other Red Blends from Douro, Portugal",13.5,"WE, RP",2017,Other Red Blends,Portugal,Douro,2
Casa Ferreirinha Quinta da Leda ,Red Wine,74.99,750,0.0,0,"Other Red Blends from Douro, Portugal",14.0,RP,2018,Other Red Blends,Portugal,Douro,1
Casa Ferreirinha Esteva ,Red Wine,14.99,750,3.7,11,"Other Red Blends from Douro, Portugal",0.0,0,2019,Other Red Blends,Portugal,Douro,0
Casa Ferreirinha Planalto ,White Wine,14.99,750,3.8,14,Other White Blends from Portugal,12.5,0,2019,Other White Blends,Portugal,_Not_given_,0
Casa Ferreirinha Papa Figos Red ,Red Wine,18.99,750,4.0,15,Other Red Blends from Portugal,0.0,0,2019,Other Red Blends,Portugal,_Not_given_,0
Casa Santos Lima Confidencial Reserva Red ,Red Wine,13.99,750,0.0,0,Other Red Blends from Portugal,13.5,WE,2018,Other Red Blends,Portugal,_Not_given_,1
Casa Santos Lima Lisbonita ,Red Wine,10.99,750,4.0,6,Other Red Blends from Portugal,13.0,0,2019,Other Red Blends,Portugal,_Not_given_,0
Casa Santos Lima Topo Tinto ,Red Wine,12.99,750,3.7,7,Other Red Blends from Portugal,13.5,0,2018,Other Red Blends,Portugal,_Not_given_,0
Casa Santos Lima Lab Red ,Red Wine,9.99,750,0.0,0,Other Red Blends from Portugal,13.0,0,2019,Other Red Blends,Portugal,_Not_given_,0
Casa Santos Lima Lisboa Colossal Reserva Red ,Red Wine,26.99,750,0.0,0,Other Red Blends from Portugal,14.0,WE,2018,Other Red Blends,Portugal,_Not_given_,1
Casa Silva 1912 Vines Sauvignon Gris ,White Wine,21.99,750,0.0,0,Other White Wine from Chile,13.5,0,2021,Other White Wine,Chile,_Not_given_,0
Casa Silva Cuvee Colchagua Carmenere ,Red Wine,18.99,750,0.0,0,"Carmenere from Colchagua Valley, Rapel Valley, Chile",0.0,0,2020,Carmenere,Chile,Rapel Valley,0
Casa Smith Porcospino Primitivo ,Red Wine,22.99,750,0.0,0,"Primitivo from Wahluke Slope, Columbia Valley, Washington",14.0,JS,2020,Primitivo,Washington,Columbia Valley,1
Casa Smith Cervo Barbera ,Red Wine,25.99,750,0.0,0,Barbera from Washington,14.5,JS,2020,Barbera,Washington,_Not_given_,1
Casa Smith Cinghiale Sangiovese ,Red Wine,24.99,750,3.9,11,"Sangiovese from Wahluke Slope, Columbia Valley, Washington",14.5,0,2020,Sangiovese,Washington,Columbia Valley,0
Casa Smith Jack's Barbera ,Red Wine,52.99,750,2.9,6,Barbera from Washington,13.5,JD,2017,Barbera,Washington,_Not_given_,1
Casa Vinicola Botter Brilla Prosecco,Sparkling & Champagne,18.99,750,0.0,0,"Non-Vintage Sparkling Wine from Prosecco, Italy",11.0,0,0,Non-Vintage Sparkling Wine,Italy,Prosecco,0
Casa Vinicola Botter Brilla Prosecco Rose ,Sparkling & Champagne,18.99,750,0.0,0,"Sparkling Rosé from Prosecco, Italy",11.0,0,2020,Sparkling Rosé,Italy,Prosecco,0
